transaction_id,customer_id,store_id,transaction_date,total_amount,customer_phone
T000075,,S002,2024-03-07 09:50:00,270.15,
T000076,C02556,S013,2024-03-17 17:10:00,310.82,1684842459
T000077,C03036,S002,2025-02-25 21:00:00,126.45,6273056122
T000078,C01172,S008,2025-08-09 19:11:00,122.56,7081935938
T000079,,S002,2025-02-07 14:03:00,325.03,
T000080,C02115,S004,2025-09-01 17:28:00,118.14,9561535776
T000081,C00390,S005,2024-11-15 11:50:00,433.67,
T000082,C00519,S013,2024-10-01 20:29:00,476.04,1505639150
T000083,C04176,S013,2025-05-01 08:17:00,203.44,8554016886
T000084,C01184,S005,2024-11-14 18:45:00,146.86,5563972390
T000085,C00993,S008,2025-09-03 19:36:00,289.18,8918395677
T000086,C02499,S009,2023-04-21 14:00:00,368.18,7575788115
T000087,C03823,S003,2024-11-07 09:54:00,287.31,
T000088,,S012,2024-09-08 10:22:00,143.93,
T000089,C02849,S004,2023-02-09 21:45:00,179.22,2198195342
T000090,C00569,S008,2024-10-27 09:57:00,251.64,
T000091,C00194,S010,2023-12-20 09:48:00,492.13,
T000092,C00266,S010,2023-11-01 13:24:00,259.26,7503954562
T000093,C04161,S001,2024-04-04 20:27:00,58.49,6202184051
T000094,C00560,S005,2024-09-06 16:55:00,407.98,7016213397
T000095,C00241,S004,2023/09/28,262.17,6037099881
T000096,C02159,S003,2025-07-02 14:15:00,464.98,8112037381
T000097,C04216,S005,2025-02-05 19:44:00,218.06,9823332685
T000098,C01302,S015,2024-12-13 12:53:00,280.34,9579765768
T000099,,S007,2024-08-13 18:08:00,305.28,
T000100,C00213,S002,2025-04-29 12:52:00,368.78,7817685239
T000101,C02210,S007,2024-08-05 16:29:00,433.48,8554031178
T000102,C02854,S012,2023-03-01 08:47:00,426.66,3743024308
T000103,,S011,2023-01-24 12:09:00,243.74,
T000104,C01639,S005,2023-06-10 21:50:00,450.01,
T000105,C01554,S013,2024-03-03 12:45:00,459.49,3647098322
T000106,C00519,S005,2024-02-22 11:02:00,207.69,1505639150
T000107,C01810,S012,2025-03-18 13:41:00,325.71,5473781335
T000108,C00495,S014,2024-11-20 10:32:00,443.59,2436066251
T000109,C03807,S012,2023-07-01 17:32:00,78.54,6713628138
T000110,C04831,S008,2023-01-11 20:08:00,10.68,unknown
T000111,C04851,S004,2025-07-28 11:05:00,277.33,6455638455
T000112,C04322,S001,2023-04-01 13:07:00,253.65,2253604393
T000113,,S011,2023-02-10 21:26:00,301.85,
T000114,C03476,S012,2025-04-17 14:48:00,457.53,1923466629
T000115,C01408,S002,2025-08-15 11:17:00,35.82,
T000116,C03125,S011,2023-09-16 11:30:00,71.51,9144019908
T000117,C02244,S002,2023-12-05 19:58:00,203.89,6492403528
T000118,C02388,S004,2023-02-02 21:00:00,226.66,9082431404
T000119,C03768,S003,10-05-2023 19:47,487.8,5883536078
T000120,C01389,S006,,96.78,2107562960
T000121,C01566,S001,2024-07-28 21:13:00,333.51,2553732023
T000122,C04626,S004,2023-07-04 12:31:00,20.81,7931185619
T000123,C00280,S005,2025-05-08 12:16:00,290.33,2907001957
T000124,C02411,S002,2024-11-16 11:55:00,250.87,7325967363
T000125,C04574,S013,2025-02-02 12:12:00,330.4,5886694716
T000126,C03009,S005,2024-06-06 11:40:00,381.67,3382792309
T000127,,S011,17-02-2025 17:46,477.7,
T000128,C01229,S002,2023-08-06 19:37:00,194.61,7591613218
T000129,C01686,S002,2023-08-04 14:39:00,284.88,3435682146
T000130,C04257,S009,2025-03-09 13:57:00,304.0,3399620050
T000131,C02783,S005,2023-09-16 10:52:00,233.59,3175087199
T000132,C02539,S001,2025-09-26 15:28:00,443.07,8128301355
T000133,C00495,S004,2023-03-20 08:46:00,110.79,2436066251
T000134,C00087,S009,2025-02-10 15:48:00,38.91,1742181322
T000135,C04817,S002,2023-04-05 17:00:00,149.93,6033021729
T000136,C01855,S013,2024-11-04 17:46:00,28.56,6754381382
T000137,C02977,S002,2023-04-09 09:31:00,375.74,6204173372
T000138,C00406,S015,2025-03-15 15:48:00,487.29,4189795303
T000139,C03403,S013,2023-08-22 21:43:00,420.48,
T000140,C04664,S005,2025-04-02 09:29:00,64.66,7003240633
T000141,C02844,S006,2025-08-25 17:40:00,153.42,6334048503
T000142,C00615,S015,2025-07-05 13:10:00,464.64,4953388063
T000143,C02874,S001,2025-03-25 10:03:00,268.76,5971400970
T000144,C03806,S014,2023-01-22 20:12:00,436.74,7344774588
T000145,C02006,S008,2023-09-14 10:48:00,271.19,
T000146,C04405,S008,2023-10-05 17:57:00,388.35,9897877464
T000147,C03214,S012,,259.09,8467299691
T000148,C04502,S004,2023-06-30 19:58:00,127.05,7709159697
T000149,C03082,S013,2023-09-14 20:55:00,141.55,7589580571
T000150,C00648,S003,2024-06-30 14:17:00,226.23,7692453304
T000151,C01522,S014,2024-11-10 10:17:00,48.37,8138610341
T000152,C01021,S011,2024-02-13 21:22:00,404.04,9248668509
T000153,C04559,S002,2025-09-08 08:52:00,76.0,7694359183
T000154,C03780,S007,2025-02-24 09:27:00,434.39,5527775712
T000155,C03374,S013,2024-05-10 21:03:00,339.61,7871304756
T000156,C01472,S004,2023-11-27 08:45:00,341.62,9379634788
T000157,C00929,S003,2025-08-22 09:37:00,469.82,7714300652
T000158,C03759,S006,2023-05-25 12:02:00,466.83,2091800401
T000159,C02346,S013,2023-08-11 16:01:00,341.94,5607710567
T000160,C01121,S011,2024-02-05 10:48:00,246.42,6471175585
T000161,C03046,S009,2023-06-27 12:22:00,,
T000162,C00216,S010,2025-06-05 08:43:00,255.59,8845703624
T000163,C01613,S012,2025-04-02 17:20:00,411.72,8765787580
T000164,C02315,,2024-10-04 08:47:00,215.55,unknown
T000165,C00736,S003,2025-03-02 15:27:00,287.52,3583206651
T000166,C04930,S011,2023-10-27 10:37:00,244.12,1108243580
T000167,C01053,S004,2025-04-08 08:28:00,30.3,
T000168,C00642,S002,2025-09-17 19:41:00,75.81,
T000169,C01025,S009,2024-10-19 09:29:00,28.21,9893261935
T000170,C03824,S003,19-12-2024 10:52,58.8,7555394135
T000171,C02101,S003,2024-12-12 10:26:00,64.64,5521208910
T000172,C02799,S009,2023-12-23 12:34:00,43.28,58914
T000173,C00115,S004,2024-06-12 08:48:00,438.46,2214730545
T000174,C00185,S001,2023-10-18 09:00:00,434.22,2334181650
T000175,C02198,S014,2025-09-23 16:56:00,390.2,25193
T000176,C04063,S005,2025-01-25 19:00:00,373.02,6201897660
T000177,C04439,S012,2024-01-20 16:13:00,427.63,2832747625
T000178,,S013,2023-10-07 18:09:00,490.47,
T000179,C02668,S014,2023-07-11 09:13:00,293.57,5629774950
T000180,C04575,S013,2024-07-16 09:17:00,176.92,7451641659
T000181,C01907,S011,2024-08-27 14:01:00,427.3,2721679723
T000182,C04135,S007,2024-09-04 20:08:00,161.4,3521309336
T000183,C00662,S014,2025-09-26 21:27:00,168.27,5676604982
T000184,C04676,S008,2024-02-26 10:40:00,250.93,4579781792
T000185,C03732,S008,2023-06-04 16:40:00,470.14,1959483280
T000186,C04706,S013,2025-09-02 14:12:00,294.47,
T000187,C03375,S014,2024-07-12 16:23:00,423.0,
T000188,C01786,S003,2025-09-22 20:01:00,47.93,7894767003
T000189,C04690,S015,2023-08-09 13:06:00,494.34,2435444814
T000190,C01357,S003,2024-10-03 11:42:00,253.76,8239738020
T000191,,S002,2024-07-09 19:03:00,263.15,
T000192,C03476,S011,2025-05-24 11:39:00,381.05,1923466629
T000193,C03804,S001,2024-06-26 18:44:00,20.42,4681941074
T000194,C04647,S015,05-01-2023 13:00,203.75,1064594438
T000195,C01028,S008,2025-05-12 17:03:00,128.3,1788888755
T000196,C03972,S006,2023-11-07 08:55:00,140.81,5089140851
T000197,C03671,S003,2025-07-17 11:25:00,494.7,4392180728
T000198,C00325,S012,2025-03-09 20:55:00,453.79,99786
T000199,C01905,S007,2024-05-26 18:51:00,340.37,4592406722
T000200,C01393,S008,2024-08-01 20:23:00,255.92,6159614928
T000201,C01495,S008,2025-07-28 08:31:00,224.35,5951654488
T000202,C04922,S012,2023-10-26 11:34:00,471.03,6388080611
T000203,C03189,S008,2023-01-16 17:06:00,408.62,unknown
T000204,C03562,S001,2024-12-20 08:21:00,304.81,
T000205,C04886,S014,2024-01-01 19:56:00,241.26,1972220515
T000206,C01857,S008,2025-02-13 17:09:00,461.61,4807987471
T000207,C03993,S013,2024-04-03 21:32:00,94.22,18157
T000208,C02140,S015,2025-01-13 10:03:00,168.24,5473929884
T000209,C04344,S007,2024-02-15 15:02:00,102.83,7842687331
T000210,C00912,S008,2024-04-27 13:20:00,94.44,2937972881
T000211,C04738,S001,2025-02-16 20:50:00,239.97,6381349388
T000212,C01090,S008,2025-09-11 18:53:00,357.98,5721426112
T000213,C01613,S003,2023-04-27 15:56:00,45.91,8765787580
T000214,C03755,S004,2023-03-30 14:21:00,213.45,7478119617
T000215,C01936,S011,2025-04-01 11:54:00,203.79,1343176194
T000216,C03000,S004,2024-05-23 16:04:00,118.78,5311486736
T000217,C02191,S015,2025-03-03 14:50:00,299.39,
T000218,C03697,S003,2023-11-10 13:29:00,149.73,9882590338
T000219,C01133,S012,2024-01-25 21:31:00,459.0,
T000220,C00297,S003,2023-10-21 12:51:00,136.19,7994347166
T000221,C01469,S007,2024-08-21 08:54:00,248.5,5527676886
T000222,C02347,S015,2024-07-14 10:39:00,314.84,2718724331
T000223,C00834,S008,2023-07-13 13:39:00,79.72,55045
T000224,C01743,S014,2023-09-26 21:39:00,456.79,5389106630
T000225,C01966,S015,2025-05-01 14:18:00,275.43,
T000226,C00288,S010,2024/04/16,236.06,6632410406
T000227,C02886,S012,2024-09-11 20:07:00,375.29,3063880078
T000228,C04434,S001,13-05-2024 12:14,132.59,2217397066
T000229,C00756,S012,2025-02-19 17:01:00,277.69,
T000230,C02955,S011,2023-12-21 18:13:00,235.53,8342631452
T000231,C03311,S011,2025-01-29 15:08:00,277.72,7434563372
T000232,,S003,2023-01-02 15:10:00,459.32,
T000233,C03477,S005,2023-04-02 14:36:00,178.43,7514996384
T000234,C02028,S003,2023-09-08 19:35:00,243.56,5158913298
T000235,C02499,S010,2025-03-31 15:52:00,275.06,7575788115
T000236,C00043,S015,2023-02-22 08:28:00,53.93,3911273509
T000237,C03438,S009,2024-03-29 11:19:00,166.86,
T000238,C03295,S014,2023-01-22 13:40:00,136.46,8788904283
T000239,C00201,S005,2024-09-16 12:05:00,375.71,3237897060
T000240,C01818,S012,2024-06-04 16:19:00,387.61,6957431032
T000241,C04905,S008,2024-11-07 15:40:00,187.07,4131998385
T000242,C02079,S015,2024-05-04 08:37:00,478.43,7226309385
T000243,C02486,,2023-03-22 16:28:00,402.88,5349094646
T000244,C04560,S006,2023-11-30 08:04:00,210.38,8047907562
T000245,C03558,S014,,233.04,7928163046
T000246,C02875,S011,2025-02-10 21:06:00,226.43,7681759669
T000247,C03971,S008,2024-06-15 10:28:00,187.74,3022550530
T000248,C04320,S012,2023-08-23 14:22:00,347.49,8719309934
T000249,C02248,S004,2024-03-17 18:09:00,220.85,3412173542
T000250,C02352,S009,28-07-2025 10:50,203.22,9101008908
T000251,C01897,S008,2023-05-27 09:06:00,480.79,1243582261
T000252,C04833,S002,2025-02-10 11:53:00,104.59,3585638315
T000253,C03455,S009,2023-01-26 18:58:00,281.86,2706637595
T000254,C00422,S011,2023-02-21 15:00:00,33.62,9123018015
T000255,C04314,S003,2024-12-02 08:47:00,116.79,5058382607
T000256,C02382,S005,2023-04-07 21:22:00,145.87,7283712737
T000257,C00359,S001,2023-01-19 11:04:00,280.64,5096488025
T000258,C02734,S012,2025-06-25 16:21:00,134.41,
T000259,C02061,S004,2023-01-14 12:38:00,65.72,8053468197
T000260,C04395,S008,2024-01-13 10:35:00,164.28,7334323159
T000261,C01026,S010,2025-07-03 11:39:00,290.63,3042579044
T000262,C04120,S009,2024-01-20 11:27:00,235.39,2825082027
T000263,C02773,S010,05-07-2025 16:13,442.58,8682548963
T000264,C00274,S004,2023-03-26 17:52:00,357.9,
T000265,C04859,S010,2023/01/02,230.19,3466440348
T000266,C02530,S001,2024-11-12 14:52:00,270.92,7635687581
T000267,C01433,S004,2023-08-08 09:23:00,74.65,8935898168
T000268,C02319,S008,2023-03-16 13:38:00,28.05,2394230963
T000269,C04288,S014,2023-12-15 18:42:00,229.61,8233026828
T000270,C01497,S011,2024/08/31,362.45,2944606435
T000271,C00980,S008,2023-05-02 10:59:00,178.45,7297151290
T000272,C00632,S005,2023-03-23 14:59:00,236.14,4533889875
T000273,C01465,S014,2024-02-27 10:38:00,42.53,4987816358
T000274,C03885,S008,2023-10-26 11:38:00,298.74,7901279292
T000275,C02327,S009,2023-11-24 13:53:00,329.62,
T000276,C01126,S010,2023-08-30 08:57:00,118.68,7281786436
T000277,C00821,S010,2024-12-10 18:30:00,115.37,2283823299
T000278,C01640,S002,2023-01-08 18:33:00,143.16,8817818594
T000279,C04700,S001,2024-11-04 15:45:00,287.69,6266109913
T000280,C01684,S009,2024-09-17 08:11:00,194.21,1588343174
T000281,C04945,S013,2025-01-26 16:38:00,285.47,5242831331
T000282,C02409,S015,2025-07-18 14:41:00,383.05,2523206903
T000283,C00904,S010,2025-02-08 08:05:00,251.77,7976340049
T000284,C04463,S013,2023-08-13 19:24:00,259.37,8722901542
T000285,C02263,S013,2025-02-07 08:54:00,,8589828712
T000286,C03513,S014,2024-05-08 15:53:00,487.08,5643600423
T000287,C04926,S003,2024-02-07 15:23:00,170.94,3083488187
T000288,C00257,S008,2025-06-24 16:58:00,429.36,6675329433
T000289,C00482,S004,2025-01-30 11:30:00,489.59,9053336691
T000290,C03574,S001,2024-12-28 19:31:00,99.1,80081
T000291,C01388,S002,2023-08-02 16:05:00,420.07,1858462902
T000292,C00932,S001,2023-03-06 15:57:00,298.87,1267907077
T000293,C00208,S012,2025-08-29 13:03:00,370.83,8535140479
T000294,C00118,S014,2025-04-27 21:12:00,169.11,4637368883
T000295,C03854,S007,2024-08-15 11:57:00,99.4,
T000296,C00667,S011,2023-03-20 19:35:00,14.92,1905654407
T000297,C02312,S012,2023-02-10 10:12:00,130.35,
T000298,C02986,S005,2024-12-11 16:40:00,,2891955367
T000299,C02110,S014,2024-01-18 08:16:00,,2358403760
T000300,C00141,S001,2023-01-15 14:53:00,449.45,5405746702
T000301,C03898,S010,2023-02-03 20:03:00,332.41,6599145126
T000302,C00054,S015,2025-05-07 16:31:00,189.09,
T000303,C03787,S002,2023-09-17 12:46:00,215.29,1085478313
T000304,C04470,S008,2023-09-20 20:54:00,233.82,4785565859
T000305,C02129,S011,2023-07-08 12:08:00,146.93,2081340111
T000306,C02650,S013,2025-05-06 19:24:00,279.89,7755819112
T000307,C02359,S012,2023-03-07 10:16:00,177.09,8048408600
T000308,C01913,S001,2024-12-25 19:17:00,39.53,
T000309,C04446,S011,2023-02-13 12:39:00,207.66,9853737014
T000310,C04471,S006,2023-09-12 19:07:00,452.33,2247526264
T000311,C01656,S011,2024-03-13 19:04:00,380.66,1987120905
T000312,C03038,S004,2024-02-18 08:57:00,339.55,5171287448
T000313,C04638,S009,2025-05-06 08:02:00,181.77,2694933212
T000314,C04810,S006,2024-06-20 09:48:00,21.58,4162497714
T000315,C02515,S013,2024-03-23 18:47:00,288.05,
T000316,C02231,S006,2025-01-14 16:53:00,451.16,4473900433
T000317,,S003,2024-09-09 12:03:00,248.5,
T000318,C04792,S013,2024-05-17 13:18:00,189.2,9223034628
T000319,C00713,S014,2025-05-18 16:15:00,224.46,8822835292
T000320,C02868,S006,2024-04-27 16:06:00,194.19,5455245382
T000321,C01390,S014,2024-02-20 20:06:00,415.12,4435526704
T000322,C01373,S009,2025-09-12 16:41:00,400.21,49171
T000323,C01997,S011,2024-08-15 09:51:00,143.6,
T000324,C04994,S006,2023-12-21 11:51:00,162.79,4141531759
T000325,C00274,S015,2025-05-28 10:37:00,41.0,
T000326,C02863,S010,2023-11-25 12:47:00,112.54,3246205863
T000327,C00420,S006,2023-05-28 21:22:00,445.77,5114365631
T000328,C00769,S010,2024-03-23 16:08:00,192.13,2342774504
T000329,C02166,S008,2024-02-05 13:58:00,131.2,3965126810
T000330,C02523,S013,2023-05-02 09:36:00,225.84,2852854693
T000331,C01278,S009,2024-08-06 15:53:00,221.95,6819923671
T000332,C01559,S011,2023-11-23 18:58:00,50.61,
T000333,C00445,S014,2024-06-27 11:40:00,74.88,
T000334,C01481,S003,2024-02-02 11:14:00,76.09,5302142813
T000335,C04832,S007,2023-01-04 09:05:00,424.7,2161237877
T000336,C04720,S015,2024-09-07 11:28:00,314.77,7257814919
T000337,C01649,S010,2023-07-13 20:26:00,422.66,4001655976
T000338,C02821,S010,2023-02-23 09:59:00,257.56,4837124818
T000339,C04560,S013,2025-06-11 13:26:00,114.54,8047907562
T000340,C00035,S005,2025-04-29 18:29:00,148.78,8629739692
T000341,C04038,S002,2024-05-04 11:40:00,395.93,3455229922
T000342,C04744,S005,2024-07-27 16:54:00,477.18,3009347156
T000343,C00465,,2023-07-13 16:41:00,56.7,
T000344,C00803,S011,24-11-2024 09:04,292.08,
T000345,C04805,S001,2025-03-16 21:39:00,240.85,8153927918
T000346,C02662,S013,2024-09-06 14:59:00,460.8,7949223750
T000347,C00074,S012,2024-04-02 11:29:00,142.16,5152167822
T000348,C01271,S010,2025-05-03 21:35:00,90.07,6881414786
T000349,C02214,S003,2024-08-09 08:21:00,75.36,3825724007
T000350,C03442,S012,2024-09-26 16:05:00,51.7,1244011253
T000351,C03643,S014,2023-06-20 08:27:00,90.44,22332
T000352,C04981,S004,2024-06-16 18:37:00,162.12,8772511969
T000353,C01420,S002,2024-06-18 11:14:00,124.84,3532404887
T000354,C02666,S003,2025-01-13 10:19:00,471.55,2391674081
T000355,C02639,S013,2024-07-25 14:34:00,182.13,3464375825
T000356,C02000,S001,2024-07-13 08:07:00,278.43,7688171221
T000357,C00840,S013,2024-05-06 10:06:00,386.86,3784892318
T000358,C04893,S015,2025-04-29 15:14:00,385.13,6601793634
T000359,C04263,S011,2025-08-01 19:17:00,70.74,6807963701
T000360,C02473,S015,2024-07-18 19:05:00,74.16,8232767764
T000361,C02977,S011,2023-10-10 08:52:00,203.8,6204173372
T000362,C01124,S005,2023-06-01 20:15:00,164.98,4174078929
T000363,C02702,S002,2024-06-07 09:36:00,368.66,
T000364,C03445,S003,2024-04-27 15:48:00,474.01,42144
T000365,C02541,S013,2025-08-28 12:02:00,496.26,9318755463
T000366,C04954,S010,2023-05-16 15:25:00,96.3,1899113369
T000367,,S013,2024-06-13 21:15:00,373.05,
T000368,C01831,S010,2025-04-11 18:24:00,157.77,7899643663
T000369,C03840,S012,2023-06-20 21:50:00,418.93,
T000370,C00848,S014,2024-10-24 11:37:00,219.94,6838579433
T000371,C01890,S002,2023-10-11 09:56:00,223.33,89755
T000372,C01704,S002,2025-02-24 18:53:00,206.26,unknown
T000373,C02125,S005,2025-07-14 12:15:00,455.98,
T000374,C03891,S004,2025-01-30 18:48:00,50.49,6256825165
T000375,C02405,S007,2023-09-24 16:25:00,277.35,
T000376,C03952,S007,2024-12-12 10:55:00,277.69,
T000377,C02847,S001,2025-01-20 12:44:00,414.44,7457192456
T000378,,S001,2023-09-21 08:16:00,219.67,
T000379,C04037,S008,2024-11-08 09:23:00,458.67,3382137463
T000380,C01179,S002,2025-01-06 15:37:00,196.51,
T000381,C01113,S009,2025-08-01 15:20:00,140.84,6523817316
T000382,C02499,S007,2023-06-04 08:32:00,419.91,7575788115
T000383,C01291,S004,2023-06-08 10:05:00,211.46,8243733615
T000384,C00051,S010,2024-04-27 08:13:00,117.48,unknown
T000385,C03211,S010,2023/05/09,299.95,8118821077
T000386,C02528,S013,2023-02-24 13:25:00,374.86,5963047500
T000387,C02196,S004,01-04-2025 15:17,408.5,6823701912
T000388,C04835,S004,2023-05-20 10:59:00,57.79,1564961077
T000389,C02824,S002,2023-01-13 10:52:00,190.06,
T000390,C04315,S002,2023-05-07 13:20:00,463.47,8391460110
T000391,C00691,S001,2024-03-28 17:20:00,308.71,5385490726
T000392,C02811,S008,2023-11-30 19:02:00,349.71,7533791618
T000393,C04334,S011,2023-07-26 14:09:00,54.65,4528053573
T000394,C02882,S012,2023-01-23 14:16:00,107.19,1173053426
T000395,C03564,,2023-12-31 09:54:00,331.63,6701941615
T000396,C01834,S003,2023-08-31 18:29:00,325.84,
T000397,C00469,S015,2025-09-12 09:01:00,315.01,5049776514
T000398,C02252,S007,2024-02-27 08:58:00,251.26,1214180493
T000399,C01942,S006,2023-12-31 17:56:00,24.24,
T000400,C04328,S013,2023-05-01 17:17:00,194.5,3381474287
T000401,C01201,S007,2023-12-09 10:49:00,252.77,3586189842
T000402,C04833,S013,2025-02-19 12:30:00,23.81,3585638315
T000403,C04788,S012,2024-12-30 11:52:00,340.23,7417339805
T000404,C01219,S002,2023-08-31 13:48:00,186.18,5854023887
T000405,C01713,S006,2023-10-15 12:39:00,273.1,6978693470
T000406,C04477,S013,2023-07-20 10:36:00,347.16,4343319278
T000407,C04833,S006,2023/12/03,438.6,3585638315
T000408,C02187,S010,2025-07-29 16:34:00,294.41,1195340000
T000409,C01585,S001,2023-07-02 08:39:00,138.7,5455285760
T000410,C02601,S010,2025-07-16 16:00:00,268.36,3273856258
T000411,C03422,S010,2025/03/28,,9765462554
T000412,C01349,S007,2023-09-30 09:09:00,432.55,69425
T000413,C03656,S003,2024-08-09 21:51:00,12.5,6761836322
T000414,C00262,S005,2023-02-15 14:45:00,20.61,4162462431
T000415,C00253,S008,2025-08-16 20:47:00,279.31,
T000416,C01899,S011,2024-01-24 16:30:00,418.9,8112326648
T000417,C01736,S011,2023-12-18 09:39:00,345.81,1712887529
T000418,C01554,S014,2023-11-25 08:59:00,247.72,3647098322
T000419,C02435,S014,2024-10-27 20:38:00,297.9,8532714070
T000420,C01585,S006,2023-06-20 13:26:00,121.59,5455285760
T000421,C00977,S007,2024-06-20 09:31:00,420.43,8391133760
T000422,C01520,S004,2023-11-10 12:47:00,131.41,
T000423,C04877,S010,2023-11-11 21:12:00,118.83,27885
T000424,C02028,S011,2024-05-18 12:40:00,420.71,5158913298
T000425,,S002,2024/08/28,12.25,
T000426,C02847,S015,2024-07-02 17:21:00,417.65,7457192456
T000427,C04924,S003,2024-04-14 10:08:00,55.31,5753672258
T000428,C01194,S005,2023-05-16 16:12:00,139.32,6039520494
T000429,C03396,S011,2024-01-11 20:32:00,195.55,
T000430,C03548,S010,2025-04-03 15:05:00,321.54,8211388418
T000431,,S004,2025-04-11 19:35:00,281.95,
T000432,C00447,S011,2024-07-10 10:23:00,113.28,
T000433,C03376,S004,2024-12-13 10:07:00,52.86,
T000434,C00326,S010,2024-02-10 19:00:00,288.83,4002996986
T000435,C02950,S003,2024-07-11 13:31:00,26.33,5112203404
T000436,C03680,S005,2024-01-14 13:58:00,398.98,1963353800
T000437,C01057,S012,2023-05-30 15:33:00,91.99,1685250958
T000438,C04201,S001,2025-01-20 19:39:00,286.03,6156766964
