transaction_id,customer_id,store_id,transaction_date,total_amount,customer_phone,rejection_reason
T001584,,S005,2023-02-25 20:01:00,319.96,,Missing customer_id - cannot attribute transaction
T001589,,S007,2024-12-14 11:22:00,54.16,,Missing customer_id - cannot attribute transaction
T001617,,S010,2024-05-19 11:45:00,437.2,,Missing customer_id - cannot attribute transaction
T001625,,S014,2024-04-19 15:52:00,364.29,,Missing customer_id - cannot attribute transaction
T001701,,S002,2023-08-06 17:20:00,61.76,,Missing customer_id - cannot attribute transaction
T001704,,S004,2023-03-16 13:51:00,484.49,,Missing customer_id - cannot attribute transaction
T001735,,S001,2023-09-08 20:22:00,50.09,,Missing customer_id - cannot attribute transaction
T001747,,S003,2024-11-05 08:23:00,215.13,,Missing customer_id - cannot attribute transaction
T001814,,S014,2024-09-16 19:48:00,329.68,,Missing customer_id - cannot attribute transaction
T001846,,S012,2024-03-27 21:25:00,350.78,,Missing customer_id - cannot attribute transaction
T001854,,S011,2024-10-26 09:42:00,138.98,,Missing customer_id - cannot attribute transaction
T001860,,S001,2024-05-19 15:15:00,466.74,,Missing customer_id - cannot attribute transaction
T001863,,S011,2023-04-10 19:12:00,26.15,,Missing customer_id - cannot attribute transaction
T001897,,S013,2025-04-01 16:06:00,193.91,,Missing customer_id - cannot attribute transaction
T001900,,S011,2024-11-22 12:56:00,361.45,,Missing customer_id - cannot attribute transaction
T001912,,S001,2025-05-09 20:32:00,275.43,,Missing customer_id - cannot attribute transaction
T001961,,S007,2024-06-14 08:09:00,318.93,,Missing customer_id - cannot attribute transaction
T001967,,S003,2025-06-30 11:52:00,106.31,,Missing customer_id - cannot attribute transaction
T001979,,S014,2025-01-13 12:58:00,263.99,,Missing customer_id - cannot attribute transaction
T001981,,S010,2023-06-29 19:24:00,162.01,,Missing customer_id - cannot attribute transaction
T001984,,S001,2023-10-15 08:42:00,158.74,,Missing customer_id - cannot attribute transaction
T002033,,S013,2024-07-05 14:47:00,305.49,,Missing customer_id - cannot attribute transaction
T002046,,S014,2025-01-07 20:35:00,493.37,,Missing customer_id - cannot attribute transaction
T002054,,S007,2023-08-12 08:45:00,321.36,,Missing customer_id - cannot attribute transaction
T002114,,S011,2024-10-25 10:59:00,63.51,,Missing customer_id - cannot attribute transaction
T002123,,S007,2024-05-14 10:27:00,308.67,,Missing customer_id - cannot attribute transaction
T002124,,S014,2024-09-26 17:39:00,40.86,,Missing customer_id - cannot attribute transaction
T002125,,S008,2023-02-27 21:01:00,434.97,,Missing customer_id - cannot attribute transaction
T002134,,S010,2025-03-09 16:11:00,398.46,,Missing customer_id - cannot attribute transaction
T002317,,S003,2023-10-24 21:34:00,214.15,,Missing customer_id - cannot attribute transaction
T002350,,S014,2025/08/10,468.45,,Missing customer_id - cannot attribute transaction
T002416,,S003,2025-02-15 09:50:00,488.8,,Missing customer_id - cannot attribute transaction
T002454,,S012,2024-09-07 14:12:00,295.94,,Missing customer_id - cannot attribute transaction
T002486,,S015,2023-04-21 09:06:00,292.5,,Missing customer_id - cannot attribute transaction
T002494,,S006,2025-09-08 12:46:00,124.95,,Missing customer_id - cannot attribute transaction
T002497,,S006,2023-05-01 21:12:00,81.62,,Missing customer_id - cannot attribute transaction
T002501,,S011,2024-08-15 12:09:00,384.42,,Missing customer_id - cannot attribute transaction
T002505,,S007,2024-04-15 18:43:00,149.71,,Missing customer_id - cannot attribute transaction
T002516,,S003,2024-06-19 12:53:00,116.65,,Missing customer_id - cannot attribute transaction
T002528,,S001,2023-05-05 11:04:00,295.3,,Missing customer_id - cannot attribute transaction
T002533,,S007,2023-09-07 16:21:00,490.33,,Missing customer_id - cannot attribute transaction
T002560,,S007,2024-08-03 08:06:00,283.47,,Missing customer_id - cannot attribute transaction
T002578,,S009,2025-03-15 17:57:00,264.54,,Missing customer_id - cannot attribute transaction
T002579,,S013,2023-07-03 10:55:00,272.94,,Missing customer_id - cannot attribute transaction
T002583,,S013,2024-02-20 09:19:00,410.19,,Missing customer_id - cannot attribute transaction
T002609,,S008,2023-07-21 18:54:00,453.28,,Missing customer_id - cannot attribute transaction
T002643,,S013,2024-09-26 10:47:00,246.59,,Missing customer_id - cannot attribute transaction
T002648,,S006,2024-02-21 20:17:00,,,Missing customer_id - cannot attribute transaction
T002736,,S002,2024-10-10 15:31:00,160.97,,Missing customer_id - cannot attribute transaction
T002746,,S005,2025-01-26 18:19:00,106.75,,Missing customer_id - cannot attribute transaction
T002760,,S010,2024-09-03 18:50:00,101.56,,Missing customer_id - cannot attribute transaction
T002764,,S013,2024-12-24 10:43:00,381.54,,Missing customer_id - cannot attribute transaction
T002798,,S012,2024-11-19 18:19:00,426.63,,Missing customer_id - cannot attribute transaction
T002800,,S012,2025-02-15 17:45:00,95.7,,Missing customer_id - cannot attribute transaction
T002835,,S007,2024-05-31 09:01:00,115.75,,Missing customer_id - cannot attribute transaction
T002865,,S015,2023-08-21 09:11:00,95.24,,Missing customer_id - cannot attribute transaction
T002896,,S008,2023-10-21 13:03:00,404.32,,Missing customer_id - cannot attribute transaction
T002903,,S001,2024-12-02 08:15:00,370.91,,Missing customer_id - cannot attribute transaction
T002986,,S005,2024-02-24 19:38:00,304.84,,Missing customer_id - cannot attribute transaction
T003004,,S012,2023-02-23 09:02:00,305.09,,Missing customer_id - cannot attribute transaction
T003020,,S007,2025-06-21 19:11:00,141.67,,Missing customer_id - cannot attribute transaction
T003072,,S007,2024-05-06 16:10:00,65.73,,Missing customer_id - cannot attribute transaction
T003090,,S003,2023-09-30 13:45:00,404.98,,Missing customer_id - cannot attribute transaction
T003104,,S005,2025-09-15 16:54:00,192.53,,Missing customer_id - cannot attribute transaction
T003109,,S002,2025-08-11 18:31:00,229.4,,Missing customer_id - cannot attribute transaction
T003110,,S009,2025-05-02 18:28:00,475.52,,Missing customer_id - cannot attribute transaction
T003112,,S001,2023-04-27 08:24:00,,,Missing customer_id - cannot attribute transaction
T003127,,S006,2024-09-11 13:24:00,301.33,,Missing customer_id - cannot attribute transaction
T003139,,S006,2023-01-01 18:03:00,280.78,,Missing customer_id - cannot attribute transaction
T003143,,S004,2024-06-12 14:21:00,107.03,,Missing customer_id - cannot attribute transaction
T003163,,S008,2023-04-26 20:18:00,179.17,,Missing customer_id - cannot attribute transaction
T003231,,S012,2024-07-28 11:30:00,372.57,,Missing customer_id - cannot attribute transaction
T003254,,S009,2024-07-18 19:40:00,350.23,,Missing customer_id - cannot attribute transaction
T003270,,S014,2023-08-01 21:48:00,242.33,,Missing customer_id - cannot attribute transaction
T003272,,S013,2025-04-26 10:41:00,65.74,,Missing customer_id - cannot attribute transaction
T003288,,S009,2024-04-26 19:46:00,62.97,,Missing customer_id - cannot attribute transaction
T003326,,S010,,207.53,,Missing customer_id - cannot attribute transaction
T003352,,S012,2023-03-02 13:24:00,472.48,,Missing customer_id - cannot attribute transaction
T003362,,S011,2023-10-22 16:16:00,432.76,,Missing customer_id - cannot attribute transaction
T003437,,S010,2024-03-07 11:19:00,302.91,,Missing customer_id - cannot attribute transaction
T003450,,S006,2024-08-18 19:56:00,56.51,,Missing customer_id - cannot attribute transaction
T003516,,S008,22-02-2025 10:58,281.48,,Missing customer_id - cannot attribute transaction
T003521,,S013,2023-02-13 15:12:00,260.94,,Missing customer_id - cannot attribute transaction
T003534,,S012,2024-02-11 09:01:00,229.55,,Missing customer_id - cannot attribute transaction
T003535,,S010,2023-09-16 09:17:00,128.81,,Missing customer_id - cannot attribute transaction
T003542,,S007,2023-12-24 20:51:00,493.56,,Missing customer_id - cannot attribute transaction
T003592,,S009,2023-06-02 08:07:00,182.46,,Missing customer_id - cannot attribute transaction
T003599,,S007,09-03-2024 11:27,318.67,,Missing customer_id - cannot attribute transaction
T003636,,S013,2023-04-13 20:44:00,41.76,,Missing customer_id - cannot attribute transaction
T003644,,S003,2024-06-28 18:35:00,245.18,,Missing customer_id - cannot attribute transaction
T003658,,S012,2024-05-13 15:48:00,220.72,,Missing customer_id - cannot attribute transaction
T003675,,S010,2023-01-06 17:58:00,60.43,,Missing customer_id - cannot attribute transaction
T003676,,S007,2023-10-09 18:12:00,469.96,,Missing customer_id - cannot attribute transaction
T003758,,S015,2025-04-05 17:05:00,453.65,,Missing customer_id - cannot attribute transaction
T003808,,S007,2024-10-10 19:24:00,160.93,,Missing customer_id - cannot attribute transaction
T003834,,S005,2024-07-24 13:02:00,198.93,,Missing customer_id - cannot attribute transaction
T003838,,S004,2024-12-20 13:36:00,260.83,,Missing customer_id - cannot attribute transaction
T003845,,S013,2023-02-08 19:49:00,101.96,,Missing customer_id - cannot attribute transaction
T003853,,S015,2023-06-20 12:31:00,91.64,,Missing customer_id - cannot attribute transaction
T003890,,S012,2025-05-20 09:49:00,132.63,,Missing customer_id - cannot attribute transaction
T003894,,S001,2024-03-31 11:49:00,250.89,,Missing customer_id - cannot attribute transaction
T003914,,S009,,359.99,,Missing customer_id - cannot attribute transaction
T003919,,S010,2023-03-17 19:26:00,196.57,,Missing customer_id - cannot attribute transaction
T003921,,S012,2025-06-04 11:18:00,277.62,,Missing customer_id - cannot attribute transaction
T003926,,S013,2023-12-03 18:40:00,43.19,,Missing customer_id - cannot attribute transaction
T003947,,S015,2023-11-20 10:25:00,204.29,,Missing customer_id - cannot attribute transaction
T003973,,S002,2025-06-11 08:54:00,389.54,,Missing customer_id - cannot attribute transaction
T003974,,S001,2024-04-04 13:50:00,232.88,,Missing customer_id - cannot attribute transaction
T003983,,S012,2023-03-26 19:19:00,356.85,,Missing customer_id - cannot attribute transaction
T004003,,S009,2024-08-10 09:54:00,264.92,,Missing customer_id - cannot attribute transaction
T004015,,S003,2024-02-22 13:57:00,418.4,,Missing customer_id - cannot attribute transaction
T004025,,S003,2025-08-12 21:59:00,378.19,,Missing customer_id - cannot attribute transaction
T004029,,S009,2024-09-15 21:40:00,55.71,,Missing customer_id - cannot attribute transaction
T004039,,S008,2025-02-04 10:43:00,408.16,,Missing customer_id - cannot attribute transaction
T004072,,S005,2025-02-23 08:32:00,122.34,,Missing customer_id - cannot attribute transaction
T004094,,S002,2024-12-14 09:24:00,91.85,,Missing customer_id - cannot attribute transaction
T004100,,S009,2023-02-05 20:05:00,368.83,,Missing customer_id - cannot attribute transaction
T004120,,S015,2025-07-30 08:13:00,158.88,,Missing customer_id - cannot attribute transaction
T004121,,S013,2024-06-11 21:15:00,404.06,,Missing customer_id - cannot attribute transaction
T004154,,S003,2025-01-25 18:21:00,315.56,,Missing customer_id - cannot attribute transaction
T004192,,S004,2023-10-10 14:23:00,148.2,,Missing customer_id - cannot attribute transaction
T004218,,S009,2023-01-30 08:43:00,305.8,,Missing customer_id - cannot attribute transaction
T004231,,S007,2025-03-08 14:22:00,36.59,,Missing customer_id - cannot attribute transaction
T004248,,S006,2024-10-14 15:37:00,262.85,,Missing customer_id - cannot attribute transaction
T004260,,S008,2025-03-11 20:51:00,465.19,,Missing customer_id - cannot attribute transaction
T004262,,S006,2023-04-26 20:48:00,238.29,,Missing customer_id - cannot attribute transaction
T004272,,S002,2025-06-19 15:38:00,225.89,,Missing customer_id - cannot attribute transaction
T004296,,S010,2023-11-23 13:09:00,402.51,,Missing customer_id - cannot attribute transaction
T004345,,S008,2023-02-07 16:38:00,410.5,,Missing customer_id - cannot attribute transaction
T004382,,S004,2023-02-04 12:24:00,368.13,,Missing customer_id - cannot attribute transaction
T004410,,S007,2025-04-15 18:02:00,200.61,,Missing customer_id - cannot attribute transaction
T004424,,S007,2025-04-28 19:35:00,237.85,,Missing customer_id - cannot attribute transaction
T004430,,S011,2024-11-25 14:09:00,223.02,,Missing customer_id - cannot attribute transaction
T004436,,S014,2024/04/13,319.68,,Missing customer_id - cannot attribute transaction
T004439,,S001,2025-06-24 15:53:00,295.64,,Missing customer_id - cannot attribute transaction
T004447,,S004,2025-03-22 19:50:00,286.22,,Missing customer_id - cannot attribute transaction
T004451,,S003,2023-08-30 09:21:00,293.24,,Missing customer_id - cannot attribute transaction
T004465,,S006,2024-02-02 08:30:00,356.86,,Missing customer_id - cannot attribute transaction
T004534,,S007,2023-04-24 19:16:00,18.0,,Missing customer_id - cannot attribute transaction
T004535,,S003,2024-02-13 20:11:00,471.75,,Missing customer_id - cannot attribute transaction
T004552,,S005,2025-08-22 09:54:00,271.64,,Missing customer_id - cannot attribute transaction
T004563,,S008,2025-03-11 10:12:00,251.37,,Missing customer_id - cannot attribute transaction
T004576,,S012,2024-03-11 18:09:00,302.25,,Missing customer_id - cannot attribute transaction
T004620,,S004,2025-02-16 21:49:00,483.19,,Missing customer_id - cannot attribute transaction
T004638,,S005,2025-04-25 10:56:00,154.41,,Missing customer_id - cannot attribute transaction
T004648,,S007,2024-04-23 20:18:00,66.16,,Missing customer_id - cannot attribute transaction
T004650,,,2024-04-03 08:32:00,197.34,,Missing customer_id - cannot attribute transaction
T004667,,S014,2025-04-27 10:03:00,84.21,,Missing customer_id - cannot attribute transaction
T004677,,S010,2025-05-02 13:46:00,431.86,,Missing customer_id - cannot attribute transaction
T004690,,S014,2023-01-19 14:41:00,,,Missing customer_id - cannot attribute transaction
T004691,,S008,2023-04-08 15:07:00,393.34,,Missing customer_id - cannot attribute transaction
T004714,,S011,2023-08-23 20:09:00,47.52,,Missing customer_id - cannot attribute transaction
T004725,,S005,2025-03-11 20:22:00,389.52,,Missing customer_id - cannot attribute transaction
T004756,,S004,2025-06-17 11:57:00,96.88,,Missing customer_id - cannot attribute transaction
T004807,,S004,2025-07-07 12:22:00,352.37,,Missing customer_id - cannot attribute transaction
T004832,,S001,2023-08-16 17:26:00,54.41,,Missing customer_id - cannot attribute transaction
T004879,,S011,2025-07-03 18:55:00,212.69,,Missing customer_id - cannot attribute transaction
T004896,,S002,2024-07-29 17:07:00,496.98,,Missing customer_id - cannot attribute transaction
T004897,,S014,2024-08-29 21:40:00,479.02,,Missing customer_id - cannot attribute transaction
T004910,,S011,2023-04-25 15:19:00,315.96,,Missing customer_id - cannot attribute transaction
T004923,,S005,2025-08-20 21:34:00,226.87,,Missing customer_id - cannot attribute transaction
T004924,,S015,2023-12-03 09:11:00,275.8,,Missing customer_id - cannot attribute transaction
T004925,,S002,2023-04-02 11:35:00,302.6,,Missing customer_id - cannot attribute transaction
T004931,,S001,2025-08-27 12:07:00,482.62,,Missing customer_id - cannot attribute transaction
T004972,,S010,2024-03-19 11:20:00,402.04,,Missing customer_id - cannot attribute transaction
T005072,,S014,2025-06-01 17:03:00,166.04,,Missing customer_id - cannot attribute transaction
T005092,,S014,31-05-2025 19:06,351.36,,Missing customer_id - cannot attribute transaction
T005143,,S001,2024-01-13 11:13:00,373.19,,Missing customer_id - cannot attribute transaction
T005178,,S015,2024-09-03 12:23:00,272.22,,Missing customer_id - cannot attribute transaction
T005182,,S014,2024-02-18 19:18:00,180.44,,Missing customer_id - cannot attribute transaction
T005198,,S005,2023-08-20 14:18:00,251.24,,Missing customer_id - cannot attribute transaction
T005227,,S005,2025-09-08 18:08:00,134.44,,Missing customer_id - cannot attribute transaction
T005229,,S015,2023-12-26 10:56:00,127.9,,Missing customer_id - cannot attribute transaction
T005237,,S007,2024-04-14 12:01:00,141.25,,Missing customer_id - cannot attribute transaction
T005244,,S008,2024-08-12 09:20:00,28.69,,Missing customer_id - cannot attribute transaction
T005251,,,2025-07-30 11:17:00,75.93,,Missing customer_id - cannot attribute transaction
T005271,,S015,2023-12-21 08:09:00,300.28,,Missing customer_id - cannot attribute transaction
T005296,,S010,18-12-2023 20:28,370.67,,Missing customer_id - cannot attribute transaction
T005302,,S014,2024-04-08 09:58:00,88.03,,Missing customer_id - cannot attribute transaction
T005312,,S005,2025-05-06 09:35:00,,,Missing customer_id - cannot attribute transaction
T005335,,S001,2023-02-08 16:48:00,243.67,,Missing customer_id - cannot attribute transaction
T005338,,S012,2023-10-14 18:13:00,404.45,,Missing customer_id - cannot attribute transaction
T005341,,S008,2023-09-16 15:36:00,95.28,,Missing customer_id - cannot attribute transaction
T005349,,S001,2023-07-25 11:56:00,13.62,,Missing customer_id - cannot attribute transaction
T005354,,S001,2024-01-08 17:31:00,57.49,,Missing customer_id - cannot attribute transaction
T005356,,S012,2024-05-23 12:24:00,171.82,,Missing customer_id - cannot attribute transaction
T005360,,S014,2023-01-15 19:20:00,134.17,,Missing customer_id - cannot attribute transaction
T005382,,S003,2024-04-19 08:42:00,452.96,,Missing customer_id - cannot attribute transaction
T005386,,S001,2024-09-06 20:23:00,468.37,,Missing customer_id - cannot attribute transaction
T005431,,S010,2024-12-23 19:53:00,269.86,,Missing customer_id - cannot attribute transaction
T005445,,S001,2024-05-29 19:54:00,201.57,,Missing customer_id - cannot attribute transaction
T005459,,S002,08-12-2024 16:46,-441.59,,Missing customer_id - cannot attribute transaction
T005461,,S013,2024-07-24 18:15:00,486.79,,Missing customer_id - cannot attribute transaction
T005471,,S012,2025-05-18 19:54:00,320.69,,Missing customer_id - cannot attribute transaction
T005491,,S012,11-11-2023 17:38,405.3,,Missing customer_id - cannot attribute transaction
T005514,,S011,2023-01-18 18:00:00,281.69,,Missing customer_id - cannot attribute transaction
T005536,,S011,2023-09-30 11:57:00,471.61,,Missing customer_id - cannot attribute transaction
T005584,,S015,2025-03-17 18:05:00,387.83,,Missing customer_id - cannot attribute transaction
T005597,,S002,2024-06-26 12:18:00,21.04,,Missing customer_id - cannot attribute transaction
T005647,,S010,2023-09-24 15:07:00,282.3,,Missing customer_id - cannot attribute transaction
T005658,,S003,2025-01-08 10:28:00,79.88,,Missing customer_id - cannot attribute transaction
T005693,,S012,2024-09-24 12:30:00,497.76,,Missing customer_id - cannot attribute transaction
T005731,,S010,2024-05-13 19:58:00,12.9,,Missing customer_id - cannot attribute transaction
T005738,,S006,2024-11-10 08:30:00,220.87,,Missing customer_id - cannot attribute transaction
T005763,,S014,2024-03-22 13:09:00,241.31,,Missing customer_id - cannot attribute transaction
T005813,,S012,,416.51,,Missing customer_id - cannot attribute transaction
T005816,,S012,2025-04-24 20:53:00,350.41,,Missing customer_id - cannot attribute transaction
T005855,,S011,2024-10-17 14:23:00,415.39,,Missing customer_id - cannot attribute transaction
T005860,,S006,2023-10-26 10:57:00,159.17,,Missing customer_id - cannot attribute transaction
T005866,,S009,2024-01-17 16:31:00,120.01,,Missing customer_id - cannot attribute transaction
T005872,,S008,2024-02-25 16:22:00,-112.72,,Missing customer_id - cannot attribute transaction
T005880,,S005,2025-08-25 17:40:00,239.86,,Missing customer_id - cannot attribute transaction
T005892,,S012,2023-03-14 18:44:00,217.28,,Missing customer_id - cannot attribute transaction
T005901,,S001,2023/12/06,294.26,,Missing customer_id - cannot attribute transaction
T005905,,S006,2023-01-22 13:33:00,497.47,,Missing customer_id - cannot attribute transaction
T005940,,S008,2025-07-06 14:39:00,303.47,,Missing customer_id - cannot attribute transaction
T005971,,S004,2024-11-07 16:42:00,87.38,,Missing customer_id - cannot attribute transaction
T005973,,S014,2025-04-18 19:54:00,68.19,,Missing customer_id - cannot attribute transaction
T005979,,S004,2023-04-25 13:01:00,436.75,,Missing customer_id - cannot attribute transaction
T005988,,S011,2025-02-25 09:05:00,428.32,,Missing customer_id - cannot attribute transaction
T005997,,S014,,436.36,,Missing customer_id - cannot attribute transaction
T006004,,S015,2024-05-13 19:08:00,239.79,,Missing customer_id - cannot attribute transaction
T006020,,S006,2023-12-23 20:34:00,145.4,,Missing customer_id - cannot attribute transaction
T006079,,S012,2024-06-09 13:36:00,446.86,,Missing customer_id - cannot attribute transaction
T006117,,S012,,372.93,,Missing customer_id - cannot attribute transaction
T006119,,S010,2023-09-28 08:12:00,258.04,,Missing customer_id - cannot attribute transaction
T006153,,S009,2023-04-26 20:12:00,10.13,,Missing customer_id - cannot attribute transaction
T006196,,S012,2023-12-10 09:06:00,285.46,,Missing customer_id - cannot attribute transaction
T006197,,S006,2024-09-26 16:52:00,29.86,,Missing customer_id - cannot attribute transaction
T006208,,S014,2024-08-22 08:33:00,476.69,,Missing customer_id - cannot attribute transaction
T006229,,S011,2024-12-28 13:59:00,248.27,,Missing customer_id - cannot attribute transaction
T006234,,S013,2023-11-29 15:32:00,368.68,,Missing customer_id - cannot attribute transaction
T006284,,S009,2023-08-07 15:09:00,194.03,,Missing customer_id - cannot attribute transaction
T006294,,S013,2024-05-10 16:46:00,64.65,,Missing customer_id - cannot attribute transaction
T006322,,S011,2023-02-12 10:16:00,298.45,,Missing customer_id - cannot attribute transaction
T006328,,S011,2023-09-02 14:30:00,298.66,,Missing customer_id - cannot attribute transaction
T006335,,S013,2025-06-09 18:09:00,237.45,,Missing customer_id - cannot attribute transaction
T006374,,,12-05-2025 08:54,190.11,,Missing customer_id - cannot attribute transaction
T006380,,S006,2025-06-09 21:26:00,-49.48,,Missing customer_id - cannot attribute transaction
T006385,,S009,2025-04-27 12:03:00,482.92,,Missing customer_id - cannot attribute transaction
T006398,,S014,2023/09/05,341.47,,Missing customer_id - cannot attribute transaction
T006401,,S011,2025-07-18 11:05:00,469.0,,Missing customer_id - cannot attribute transaction
T006404,,S009,2024-11-05 08:14:00,390.85,,Missing customer_id - cannot attribute transaction
T006416,,S005,2025-04-04 10:05:00,130.6,,Missing customer_id - cannot attribute transaction
T006463,,S008,2025-09-09 10:03:00,468.91,,Missing customer_id - cannot attribute transaction
T006464,,S013,2023-06-08 15:12:00,492.31,,Missing customer_id - cannot attribute transaction
T006486,,S007,2024-10-31 09:27:00,175.81,,Missing customer_id - cannot attribute transaction
T006497,,S014,2024-06-15 17:10:00,137.12,,Missing customer_id - cannot attribute transaction
T006524,,S004,2023/05/24,352.84,,Missing customer_id - cannot attribute transaction
T006532,,S004,2023-05-12 15:56:00,250.4,,Missing customer_id - cannot attribute transaction
T006547,,S013,2023-04-03 16:44:00,384.08,,Missing customer_id - cannot attribute transaction
T006603,,S001,2023-09-11 21:46:00,280.53,,Missing customer_id - cannot attribute transaction
T006612,,S005,2023-11-30 14:48:00,56.87,,Missing customer_id - cannot attribute transaction
T006664,,S002,2023-02-15 17:36:00,357.13,,Missing customer_id - cannot attribute transaction
T006666,,S005,2024-07-16 17:13:00,313.34,,Missing customer_id - cannot attribute transaction
T006690,,S014,2025-03-07 09:38:00,370.23,,Missing customer_id - cannot attribute transaction
T006696,,S008,2025-06-26 19:59:00,151.09,,Missing customer_id - cannot attribute transaction
T006705,,S012,2023-11-30 14:55:00,368.36,,Missing customer_id - cannot attribute transaction
